ID,Mahalla,Tuman,ID (tuman)
1,Amir Temur nomli ovul fuqarolar yig`ini,Amudaryo tumani,15
2,Tosh Yop ovul fuqarolar yig`ini,Amudaryo tumani,15
3,O`rta qal`a ovul fuqarolar yig`ini,Amudaryo tumani,15
4,"O`rta qal`a ovul fuqarolar yig`ini tarkibidagi ""Arna bo`yi"" MFY",Amudaryo tumani,15
5,"O`rta qal`a ovul fuqarolar yig`ini tarkibidagi ""Bog`"" MFY",Amudaryo tumani,15
6,Qilichboy ovul fuqarolar yig`ini,Amudaryo tumani,15
7,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Xizr eli"" MFY",Amudaryo tumani,15
8,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Besh ovul"" MFY",Amudaryo tumani,15
9,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Tosh qal`a"" MFY",Amudaryo tumani,15
10,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Yuqori qishloq"" MFY",Amudaryo tumani,15
11,Xalimbeg ovul fuqarolar yig`ini,Amudaryo tumani,15
12,"Xalimbeg ovul fuqarolar yig`ini tarkibidagi ""AYoqchi"" MFY",Amudaryo tumani,15
13,Do`rman ovul fuqarolar yig`ini,Amudaryo tumani,15
14,"Do`rman ovul fuqarolar yig`ini tarkibidagi ""Qoramon"" MFY",Amudaryo tumani,15
15,"Do`rman ovul fuqarolar yig`ini tarkibidagi ""Bo`z solma"" MFY",Amudaryo tumani,15
16,Bo`z Yop ovul fuqarolar yig`ini,Amudaryo tumani,15
17,Xitoy ovul fuqarolar yig`ini,Amudaryo tumani,15
18,"Xitoy ovul fuqarolar yig`ini tarkibidagi ""Tor Yop"" MFY",Amudaryo tumani,15
19,"Xitoy ovul fuqarolar yig`ini tarkibidagi ""Namuna"" MFY",Amudaryo tumani,15
20,Kuyuk ko`pir ovul fuqarolar yig`ini,Amudaryo tumani,15
21,"Kuyuk ko`pir ovul fuqarolar yig`ini tarkibidagi ""O`zbekiston"" MFY",Amudaryo tumani,15
22,"Kuyuk ko`pir ovul fuqarolar yig`ini tarkibidagi ""Qizilcholi"" MFY",Amudaryo tumani,15
23,Jumurtov shaharcha fuqarolar yig`ini,Amudaryo tumani,15
24,Z.M.Bobur nomli ovul fuqarolar yig`ini,Amudaryo tumani,15
25,"Z.M.Bobur nomli ovul fuqarolar yig`ini tarkibidagi ""Jumur ovul"" MFY",Amudaryo tumani,15
26,Oq oltin ovul fuqarolar yig`ini,Amudaryo tumani,15
27,To`lqin ovul fuqarolar yig`ini,Amudaryo tumani,15
28,Choyko`l ovul fuqarolar yig`ini,Amudaryo tumani,15
29,"Choyko`l ovul fuqarolar yig`ini tarkibidagi ""Bosuv"" MFY",Amudaryo tumani,15
30,Qipchoq ovul fuqarolar yig`ini,Amudaryo tumani,15
31,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Daryo bo`yi"" MFY",Amudaryo tumani,15
32,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Uyshin"" MFY",Amudaryo tumani,15
33,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Besh tom"" MFY",Amudaryo tumani,15
34,Qangli ovul fuqarolar yig`ini,Amudaryo tumani,15
35,"Qangli ovul fuqarolar yig`ini tarkibidagi ""Qum Yop"" MFY",Amudaryo tumani,15
36,Nazarxon ovul fuqarolar yig`ini,Amudaryo tumani,15
37,A.Navoiy nomli MFY,Amudaryo tumani,15
38,Chordara MFY,Amudaryo tumani,15
39,Boy ovul MFY,Amudaryo tumani,15
40,Durunki MFY,Amudaryo tumani,15
41,Do`stlik MFY,Amudaryo tumani,15
42,Yangiobod MFY,Amudaryo tumani,15
43,Beruniy nomli MFY,Amudaryo tumani,15
44,Olmazor MFY,Amudaryo tumani,15
45,Gulzor MFY,Amudaryo tumani,15
46,Oybek nomli MFY,Amudaryo tumani,15
47,Bo`ston MFY,Amudaryo tumani,15
85,Kegeyli shaharchasi fuqarolar yig`ini,Kegayli tumani,17
86,Kegeyli shaharchasi 1-sonli MFY,Kegayli tumani,17
87,Kegeyli shaharchasi 2-sonli MFY,Kegayli tumani,17
88,Kegeyli shaharchasi 3-sonli MFY,Kegayli tumani,17
89,Kegeyli shaharchasi 4-sonli MFY,Kegayli tumani,17
90,Xalaqabad shaharchasi fuqarolar yig`ini,Kegayli tumani,17
91,Xalaqabad shaharchasi 1-sonli MFY,Kegayli tumani,17
92,Xalaqabad shaharchasi 2-sonli MFY,Kegayli tumani,17
93,Xalaqabad shaharchasi 3-sonli MFY,Kegayli tumani,17
94,Xalaqabad shaharchasi 4-sonli MFY,Kegayli tumani,17
95,Aktuba ovul fuqarolar yig`ini,Kegayli tumani,17
96,Abat ovul fuqarolar yig`ini,Kegayli tumani,17
97,Janabazar ovul fuqarolar yig`ini,Kegayli tumani,17
98,Juzim bag ovul fuqarolar yig`ini,Kegayli tumani,17
99,Jalpak jap ovul fuqarolar yig`ini,Kegayli tumani,17
100,Kumshungil ovul fuqarolar yig`ini,Kegayli tumani,17
101,Yerkindarya ovul fuqarolar yig`ini,Kegayli tumani,17
102,Kazanketken SHFY,Kegayli tumani,17
103,Kusxanatau ovul fuqarolar yig`ini,Kegayli tumani,17
104,Aspantay ovul fuqarolar yig`ini,Kegayli tumani,17
117,Qorao`zak shaharcha fuqarolai yig`ini,Qorao'zak tumani,19
118,1-sonli MFY,Qorao'zak tumani,19
119,2-sonli MFY,Qorao'zak tumani,19
120,3-sonli MFY,Qorao'zak tumani,19
121,4-sonli MFY,Qorao'zak tumani,19
122,Berdax ovul fuqarolar yig`ini,Qorao'zak tumani,19
123,Qorako`l ovul fuqarolar yig`ini,Qorao'zak tumani,19
124,Qorabug`a ovul fuqarolar yig`ini,Qorao'zak tumani,19
125,Qoybaq ovul fuqarolar yig`ini,Qorao'zak tumani,19
126,Madeniyat ovul fuqarolar yig`ini,Qorao'zak tumani,19
127,Alg`abas ovul fuqarolar yig`ini,Qorao'zak tumani,19
128,Qorao`zak ovul fuqarolar yig`ini,Qorao'zak tumani,19
129,Yesimo`zak ovul fuqarolar yig`ini,Qorao'zak tumani,19
167,1 sonli MFY,Mo'ynoq tumani,21
168,2 sonli MFY,Mo'ynoq tumani,21
169,3 sonli MFY,Mo'ynoq tumani,21
170,4 sonli MFY,Mo'ynoq tumani,21
171,5 sonli MFY,Mo'ynoq tumani,21
172,Uchsay ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
173,Tikuzyak ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
174,Bozatoo` ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
175,Madeli ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
176,Hakim-ota ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
177,Qazaxdarya ovul fuqarolar yig`ini ,Mo'ynoq tumani,21
187,Botanika bog`i MFY,Nukus shahri,23
188,Havo Yo`li MFY,Nukus shahri,23
189,Aydin Yo`l MFY,Nukus shahri,23
190,Chimboy choyxona MFY,Nukus shahri,23
191,Xalqlar do`stligi MFY,Nukus shahri,23
192,Shig`is MFY,Nukus shahri,23
193,Shoirlar ovuli MFY,Nukus shahri,23
194,Tinchlik MFY,Nukus shahri,23
195,Do`stlik MFY,Nukus shahri,23
196,Sarbinoz MFY,Nukus shahri,23
197,Tung`ish ko`nis MFY,Nukus shahri,23
198,Qurilishchi MFY,Nukus shahri,23
199,13-sonli Qoskol-2 MFY,Nukus shahri,23
200,14-sonli Almazar MFY,Nukus shahri,23
201,15-sonli Yeli abat MFY,Nukus shahri,23
202,16-sonli Darbent MFY,Nukus shahri,23
203,17-sonli Bayterek MFY,Nukus shahri,23
204,18-sonli Kebir ovul MFY,Nukus shahri,23
205,19-sonli Kattagar MFY,Nukus shahri,23
206,20-sonli Gone qala MFY,Nukus shahri,23
207,21-sonli Taslaq-1 MFY,Nukus shahri,23
208,22-sonli Taslaq-2 MFY,Nukus shahri,23
209,23-sonli Qum ovul MFY,Nukus shahri,23
210,24-sonli Jeke terek MFY,Nukus shahri,23
211,25-sonli Turan MFY,Nukus shahri,23
212,26-sonli Ko`k o`zak MFY,Nukus shahri,23
213,27-sonli Temir jol MFY,Nukus shahri,23
214,28-sonli Ornek MFY,Nukus shahri,23
215,29-sonli Nur MFY,Nukus shahri,23
216,30-sonli Qoskol-1 MFY,Nukus shahri,23
217,31-sonli Qoskol-3 MFY,Nukus shahri,23
218,32-sonli May ovul MFY,Nukus shahri,23
219,33-conli Qizil qum MFY,Nukus shahri,23
220,34-sonli Jayhun MFY,Nukus shahri,23
221,35-sonli Navro`z MFY,Nukus shahri,23
222,36-sonli Nao`qan bag` MFY,Nukus shahri,23
223,37-sonli Juvozchi MFY,Nukus shahri,23
224,38-conliBes pobe MFY,Nukus shahri,23
225,39-sonli Jiydeli boysin-1 MFY,Nukus shahri,23
226,40-sonli Jiydeli baysin-2 MFY,Nukus shahri,23
227,41-sonli Aq jag`is MFY,Nukus shahri,23
228,42-sonli Samanbay-1 MFY,Nukus shahri,23
229,43-sonli Samanbay-2 MFY,Nukus shahri,23
230,44-sonli Qoratov MFY,Nukus shahri,23
231,45-sonli Boz ovul MFY,Nukus shahri,23
232,46-sonli Qutli qonis MFY,Nukus shahri,23
233,47-sonli Qumbiz ovul MFY,Nukus shahri,23
234,48-sonli Aq otao` MFY,Nukus shahri,23
235,49-sonli Guzar MFY,Nukus shahri,23
236,50-sonli Beket MFY,Nukus shahri,23
237,51-sonli G`arezsizlik MFY,Nukus shahri,23
238,52-sonli Nao`bahar MFY,Nukus shahri,23
239,53-sonli AllaniYaz Qaharman MFY,Nukus shahri,23
240,54-sonli Xojan ovul MFY,Nukus shahri,23
241,55-sonli MFY,Nukus shahri,23
242,56-sonli MFY,Nukus shahri,23
243,57-sonli MFY,Nukus shahri,23
244,58-sonli MFY,Nukus shahri,23
262,AviaС†iya MFY,To'rtko'l tumani,25
263,Guliston MFY,To'rtko'l tumani,25
264,Yangiobod MFY,To'rtko'l tumani,25
265,Beruniy MFY,To'rtko'l tumani,25
266,Ibn-Sino MFY,To'rtko'l tumani,25
267,To`rtko`l MFY,To'rtko'l tumani,25
268,Turkiston MFY,To'rtko'l tumani,25
269,Markazobod MFY,To'rtko'l tumani,25
270,Toshkent MFY,To'rtko'l tumani,25
271,G`alaba MFY,To'rtko'l tumani,25
272,Mustaqillik MFY,To'rtko'l tumani,25
273,Bog`Yop MFY,To'rtko'l tumani,25
274,Navoiy MFY,To'rtko'l tumani,25
275,O`zbekiston MFY,To'rtko'l tumani,25
276,Istiqlol MFY,To'rtko'l tumani,25
277,Xamza MFY,To'rtko'l tumani,25
278,Gagarin MFY,To'rtko'l tumani,25
279,Navro`z MFY,To'rtko'l tumani,25
280,Do`stlik MFY,To'rtko'l tumani,25
281,Yoshlik MFY,To'rtko'l tumani,25
282,Oqqamish ovul fuqarolar yig`ini,To'rtko'l tumani,25
283,Oqboshli ovul fuqarolar yig`ini,To'rtko'l tumani,25
284,O`zbekiston ovul fuqarolar yig`ini,To'rtko'l tumani,25
285,Sho`raxon ovul fuqarolar yig`ini,To'rtko'l tumani,25
286,Ko`na-To`rtko`l ovul fuqarolar yig`ini,To'rtko'l tumani,25
287,Paxtachi ovul fuqarolar yig`ini,To'rtko'l tumani,25
288,Ullubog` ovul fuqarolar yig`ini,To'rtko'l tumani,25
289,Tozabog`Yop ovul fuqarolar yig`ini,To'rtko'l tumani,25
290,A.Durdiev nomli ovul fuqarolar yig`ini,To'rtko'l tumani,25
291,Kelteminor ovul fuqarolar yig`ini,To'rtko'l tumani,25
292,Yonboshqal`a ovul fuqarolar yig`ini,To'rtko'l tumani,25
293,Ko`kcha ovul fuqarolar yig`ini,To'rtko'l tumani,25
294,Paxtaobod ovul fuqarolar yig`ini,To'rtko'l tumani,25
295,Qumbasqan ovul fuqarolar yig`ini,To'rtko'l tumani,25
296,Atauba ovul fuqarolar yig`ini,To'rtko'l tumani,25
297,O`zbekiston ovul fuqarolar yig`ini tasarrufidagi Do`stlik MFY,To'rtko'l tumani,25
298,Ko`na-To`rtko`l ovul fuqarolar yig`ini tasarrufidagi Anxorli MFY,To'rtko'l tumani,25
338,1-sonli MFY,Chimboy tumani,27
339,2-sonli MFY,Chimboy tumani,27
340,3-sonli MFY,Chimboy tumani,27
341,4-sonli MFY,Chimboy tumani,27
342,5-sonli MFY,Chimboy tumani,27
343,6-sonli MFY,Chimboy tumani,27
344,7-sonli MFY,Chimboy tumani,27
345,8-sonli MFY,Chimboy tumani,27
346,9-sonli MFY,Chimboy tumani,27
347,10-sonli MFY,Chimboy tumani,27
348,11-sonli MFY,Chimboy tumani,27
349,Tazg`ara ovul fuqarolar yig`ini,Chimboy tumani,27
350,Tag`jap ovul fuqarolar yig`ini,Chimboy tumani,27
351,Tazajol ovul fukarolar yig`ini,Chimboy tumani,27
352,Kenes ovul fuqarolar yig`ini,Chimboy tumani,27
353,Qosterek ovul fuqarolar yig`ini,Chimboy tumani,27
354,Mayjap ovul fuqarolar yig`ini,Chimboy tumani,27
355,Baxitli ovul fuqarolar yig`ini,Chimboy tumani,27
356,Qamis-arik ovul fuqarolar yig`ini,Chimboy tumani,27
357,Qizil-uzak ovul fuqarolar yig`ini,Chimboy tumani,27
358,Pashenttao` ovul fuqarolar yig`ini,Chimboy tumani,27
359,Kok-su ovul fuqarolar yig`ini,Chimboy tumani,27
372,Do`stlik ovul fuqarolar yig`ini,Ellikqal'a tumani,29
373,Amirobod ovul fuqarolar yig`ini,Ellikqal'a tumani,29
374,Toza-bog` ovul fuqarolar yig`ini,Ellikqal'a tumani,29
375,Guldursun ovul fuqarolar yig`ini,Ellikqal'a tumani,29
376,Qirqqiz ovul fuqarolar yig`ini,Ellikqal'a tumani,29
377,QiliChinoq ovul fuqarolar yig`ini,Ellikqal'a tumani,29
378,Saribiy ovul fuqarolar yig`ini,Ellikqal'a tumani,29
379,Guliston ovul fuqarolar yig`ini,Ellikqal'a tumani,29
380,Navoiy ovul fuqarolar yig`ini,Ellikqal'a tumani,29
381,Ellikqal`a ovul fuqarolar yig`ini,Ellikqal'a tumani,29
382,AqChako`l ovul fuqarolar yig`ini,Ellikqal'a tumani,29
383,Sharq-Yulduzi ovul fuqarolar yig`ini,Ellikqal'a tumani,29
384,Qizil-Qum ovul fuqarolar yig`ini,Ellikqal'a tumani,29
385,Chuqurqoq MFY,Ellikqal'a tumani,29
386,Oq oltin MFY,Ellikqal'a tumani,29
387,Ixlos MFY,Ellikqal'a tumani,29
388,Koinot MFY,Ellikqal'a tumani,29
389,Dumanqal`a MFY,Ellikqal'a tumani,29
390,Paxtachi MFY,Ellikqal'a tumani,29
391,Cho`pon MFY,Ellikqal'a tumani,29
392,Usmon-Yusupov MFY,Ellikqal'a tumani,29
393,Chayka MFY,Ellikqal'a tumani,29
394,Tuproqal`a MFY,Ellikqal'a tumani,29
395,Bo`ston MFY,Ellikqal'a tumani,29
396,Ibn-Sino MFY,Ellikqal'a tumani,29
397,Abay MFY,Ellikqal'a tumani,29
398,Toshkent MFY,Ellikqal'a tumani,29
399,A.Navoiy MFY,Ellikqal'a tumani,29
400,Qavatqal`a MFY,Ellikqal'a tumani,29
401,SaxtiYon shaharcha fuqarolar yig`ini,Ellikqal'a tumani,29
402,1 son MFY,Andijon shahri,30
403,2 son MFY,Andijon shahri,30
404,3 son MFY,Andijon shahri,30
405,4 son MFY,Andijon shahri,30
406,5 son MFY,Andijon shahri,30
407,6 son MFY,Andijon shahri,30
408,7 son MFY,Andijon shahri,30
409,8 son MFY,Andijon shahri,30
410,9 son MFY,Andijon shahri,30
411,10 son MFY,Andijon shahri,30
412,A.Bakirov MFY,Andijon shahri,30
413,Al-Buxoriy MFY,Andijon shahri,30
414,Andijon MFY,Andijon shahri,30
415,Birlashgan MFY,Andijon shahri,30
416,Birlik MFY,Andijon shahri,30
417,Bobosaddin MFY,Andijon shahri,30
418,Bobur MFY,Andijon shahri,30
419,Bogishamol MFY,Andijon shahri,30
420,Buston MFY,Andijon shahri,30
421,Shurbulok MFY,Andijon shahri,30
422,Gayrat MFY,Andijon shahri,30
423,Guliston MFY,Andijon shahri,30
424,Gumbaz MFY,Andijon shahri,30
425,Dalvarzin MFY,Andijon shahri,30
426,Dexkonobod MFY,Andijon shahri,30
427,Dustlik MFY,Andijon shahri,30
428,Yorboshi MFY,Andijon shahri,30
429,Jumabozor MFY,Andijon shahri,30
430,Islomobod MFY,Andijon shahri,30
431,Ittifok MFY,Andijon shahri,30
432,Ishchilar MFY,Andijon shahri,30
433,Kayragochtagi MFY,Andijon shahri,30
434,Kalandarxona MFY,Andijon shahri,30
435,Kengash MFY,Andijon shahri,30
436,Madaniyat MFY,Andijon shahri,30
437,Maydonbozor MFY,Andijon shahri,30
438,Maorif MFY,Andijon shahri,30
439,Ma`rifat MFY,Andijon shahri,30
440,Mexnat MFY,Andijon shahri,30
441,Mirpustin MFY,Andijon shahri,30
442,Mustakillik MFY,Andijon shahri,30
443,M. Aliboy MFY,Andijon shahri,30
444,Navruz MFY,Andijon shahri,30
445,Namuna MFY,Andijon shahri,30
446,Obod MFY,Andijon shahri,30
447,Ozodlik MFY,Andijon shahri,30
448,Oxunboboev MFY,Andijon shahri,30
449,Paxtakor MFY,Andijon shahri,30
450,Pistamozor MFY,Andijon shahri,30
451,Sanoat MFY,Andijon shahri,30
452,Sa`diy MFY,Andijon shahri,30
453,Soy MFY,Andijon shahri,30
454,Sulton Jura MFY,Andijon shahri,30
455,Taxtakuprik MFY,Andijon shahri,30
456,Tojik MFY,Andijon shahri,30
457,Tukkizarik MFY,Andijon shahri,30
458,Uzbekiston MFY,Andijon shahri,30
459,Uzgarish MFY,Andijon shahri,30
460,Uygurobod MFY,Andijon shahri,30
461,Farobiy MFY,Andijon shahri,30
462,X.Kodirov MFY,Andijon shahri,30
463,Xabibiy MFY,Andijon shahri,30
464,Xakikat MFY,Andijon shahri,30
465,Xursandlik MFY,Andijon shahri,30
466,Xutanarik MFY,Andijon shahri,30
467,Cho`lpon 100 yilligi MFY,Andijon shahri,30
468,Shifokor MFY,Andijon shahri,30
469,Shodlik MFY,Andijon shahri,30
470,Erkin MFY,Andijon shahri,30
471,Yangi Turmush MFY,Andijon shahri,30
472,Yangi Xayot MFY,Andijon shahri,30
473,Yaxshi MFY,Andijon shahri,30
474,X. Axmedov MFY,Andijon shahri,30
475,Buyuk Turon MFY,Andijon shahri,30
476,Oyjamol MFY,Andijon tumani,31
477,Daryobo`yi MFY,Andijon tumani,31
478,Sanoat MFY,Andijon tumani,31
479,BFK-Baxt MFY,Andijon tumani,31
480,Kuyganyor SHFY,Andijon tumani,31
481,Istiqlol MFY,Andijon tumani,31
482,No`xatak MFY,Andijon tumani,31
483,Qo`shariq MFY,Andijon tumani,31
484,M.Soliev MFY,Andijon tumani,31
485,Tolmozor MFY,Andijon tumani,31
486,Nayman MFY,Andijon tumani,31
487,Poloson MFY,Andijon tumani,31
488,Mirobod MFY,Andijon tumani,31
489,Xo`ja tojik MFY,Andijon tumani,31
490,Oqyor QFY,Andijon tumani,31
491,Orol MFY,Andijon tumani,31
492,Guliston MFY,Andijon tumani,31
493,Maorif MFY,Andijon tumani,31
494,Orol QFY,Andijon tumani,31
495,Pistamozor MFY,Andijon tumani,31
496,Bo`riboy MFY,Andijon tumani,31
497,Gumbaz MFY,Andijon tumani,31
498,Zangibobo MFY,Andijon tumani,31
499,Qurama MFY,Andijon tumani,31
500,Og`ullik MFY,Andijon tumani,31
501,Darxon MFY,Andijon tumani,31
502,Chem MFY,Andijon tumani,31
503,Madraximxoji MFY,Andijon tumani,31
504,Abduraxmonmingboshi MFY,Andijon tumani,31
505,Qum ko`chasi MFY,Andijon tumani,31
506,Qoratut MFY,Andijon tumani,31
507,Xokan QFY,Andijon tumani,31
508,Ayrilish MFY,Andijon tumani,31
509,Damariq MFY,Andijon tumani,31
510,Beshbo`ynoq MFY,Andijon tumani,31
511,Ekin- tikin MFY,Andijon tumani,31
512,Guliston MFY,Andijon tumani,31
513,Chorbog` MFY,Andijon tumani,31
514,Yorboshi QFY,Andijon tumani,31
515,Mart MFY,Andijon tumani,31
516,Mustaqillik MFY,Andijon tumani,31
517,Navro`z MFY,Andijon tumani,31
518,Rovvot MFY,Andijon tumani,31
519,Istiqlol MFY,Andijon tumani,31
520,Maorif MFY,Andijon tumani,31
521,Dexqon MFY,Andijon tumani,31
522,Namuna MFY,Andijon tumani,31
523,To`pabjuvoz MFY,Andijon tumani,31
524,Bo`taqora QFY,Andijon tumani,31
525,Do`stlik MFY,Andijon tumani,31
526,Toshloq MFY,Andijon tumani,31
527,Terak tagi MFY,Andijon tumani,31
528,J.Saidov MFY,Andijon tumani,31
529,Jaxarmasjid MFY,Andijon tumani,31
530,Mingo`rik MFY,Andijon tumani,31
531,Rovvot MFY,Andijon tumani,31
532,Qo`nji QFY,Andijon tumani,31
533,O`rikzor MFY,Andijon tumani,31
534,Islomobod MFY,Andijon tumani,31
535,Yangi to`lqin MFY,Andijon tumani,31
536,Jevachi MFY,Andijon tumani,31
537,Guzar MFY,Andijon tumani,31
538,Yu.Mamajonov MFY,Andijon tumani,31
539,Teraktagi MFY,Andijon tumani,31
540,Afg`on MFY,Andijon tumani,31
541,Joxonobod MFY,Andijon tumani,31
542,Xortum QFY,Andijon tumani,31
543,Yangiobod MFY,Andijon tumani,31
544,Gulobod MFY,Andijon tumani,31
545,Qo`qonlik MFY,Andijon tumani,31
546,Bobog`ozi MFY,Andijon tumani,31
547,Aylanpa MFY,Andijon tumani,31
548,Do`dir MFY,Andijon tumani,31
549,Cho`ngbog`iCh MFY,Andijon tumani,31
550,Chavkandaryo MFY,Andijon tumani,31
551,Bekobod MFY,Andijon tumani,31
552,Qoraqolpoq MFY,Andijon tumani,31
553,Nayman QFY,Andijon tumani,31
554,Kengash MFY,Andijon tumani,31
555,Saddatagi MFY,Andijon tumani,31
556,Guliston MFY,Andijon tumani,31
557,Xaqiqat MFY,Andijon tumani,31
558,Otchopar MFY,Andijon tumani,31
559,Do`ng qishloq MFY,Andijon tumani,31
560,Kattaguzar MFY,Andijon tumani,31
561,Sharq Yulduzi MFY,Andijon tumani,31
562,Chilon MFY,Andijon tumani,31
563,Xrabek QFY,Andijon tumani,31
564,Zarbdor KFY,Asaka tumani,32
565,Saidobod MFY,Asaka tumani,32
566,Ne`matobod MFY,Asaka tumani,32
567,Ergashobod MFY,Asaka tumani,32
568,Dung MFY,Asaka tumani,32
569,Yangisor MFY,Asaka tumani,32
570,Fayziobod MFY,Asaka tumani,32
571,Ilgor KFY,Asaka tumani,32
572,Kashkar MFY,Asaka tumani,32
573,Olakanot MFY,Asaka tumani,32
574,Zankan MFY,Asaka tumani,32
575,Axtachi MFY,Asaka tumani,32
576,Devatagi MFY,Asaka tumani,32
577,Korakiy MFY,Asaka tumani,32
578,Otish MFY,Asaka tumani,32
579,Obod MFY,Asaka tumani,32
580,Kadim KFY,Asaka tumani,32
581,Tajriba MFY,Asaka tumani,32
582,Labgardon MFY,Asaka tumani,32
583,Kovok tupi MFY,Asaka tumani,32
584,Dasturxonchi MFY,Asaka tumani,32
585,Uchtosh MFY,Asaka tumani,32
586,Kadim MFY,Asaka tumani,32
587,Kipchok MFY,Asaka tumani,32
588,Shurkishlok MFY,Asaka tumani,32
589,Mustaxkam KFY,Asaka tumani,32
590,Okbuyra MFY,Asaka tumani,32
591,Namuna Buston MFY,Asaka tumani,32
592,Elas kipchak MFY,Asaka tumani,32
593,Xonaka MFY,Asaka tumani,32
594,Mirzaobod MFY,Asaka tumani,32
595,Katta tojik MFY,Asaka tumani,32
596,Uzbekiston KFY,Asaka tumani,32
597,Toshtepa MFY,Asaka tumani,32
598,Durman MFY,Asaka tumani,32
599,Argin MFY,Asaka tumani,32
600,Tuvadak MFY,Asaka tumani,32
601,T.Aliev MFY,Asaka tumani,32
602,Navkan MFY,Asaka tumani,32
603,Kujgan KFY,Asaka tumani,32
604,Navoiy MFY,Asaka tumani,32
605,Chuntak MFY,Asaka tumani,32
606,Chek MFY,Asaka tumani,32
607,Kujgan MFY,Asaka tumani,32
608,Ozod MFY,Asaka tumani,32
609,Markayuz MFY,Asaka tumani,32
610,Ungut MFY,Asaka tumani,32
611,Kayragoch MFY,Asaka tumani,32
612,Kungirot MFY,Asaka tumani,32
613,Buzarik MFY,Asaka tumani,32
614,Yukori buz MFY,Asaka tumani,32
615,Koratepa KFY,Asaka tumani,32
616,Kurama MFY,Asaka tumani,32
617,Gancha yuz,Asaka tumani,32
618,Koratepa MFY,Asaka tumani,32
619,Bexabar MFY,Asaka tumani,32
620,Katagon MFY,Asaka tumani,32
621,Bozorboshi MFY,Asaka tumani,32
622,Niyozbotir KFY,Asaka tumani,32
623,Niyozbotir MFY,Asaka tumani,32
624,Baxrin MFY,Asaka tumani,32
625,YangiObod MFY,Asaka tumani,32
626,Mexnatobod MFY,Asaka tumani,32
627,Asaka MFY,Asaka tumani,32
628,Ittifoq MFY,Asaka tumani,32
629,Amir Temur MFY,Asaka tumani,32
630,Baynalminal MFY,Asaka tumani,32
631,Bobur MFY,Asaka tumani,32
632,Birlik MFY,Asaka tumani,32
633,Do`stlik MFY,Asaka tumani,32
634,Xamdo`stlik MFY,Asaka tumani,32
635,Nurafshon MFY,Asaka tumani,32
636,Qadiryat MFY,Asaka tumani,32
637,Istiqlol MFY,Asaka tumani,32
638,Navoiy MFY,Asaka tumani,32
639,Muqumiy MFY,Asaka tumani,32
640,T.Matyoqubov MFY,Asaka tumani,32
641,Shodlik MFY,Asaka tumani,32
642,Ibn-Sino MFY,Asaka tumani,32
643,O`zbekiston MFY,Asaka tumani,32
644,Ulug`bek MFY,Asaka tumani,32
645,Siza QFY,Baliqchi tumani,33
646,Oq-tepa MFY,Baliqchi tumani,33
647,Siza MFY,Baliqchi tumani,33
648,Yangi qishloq MFY,Baliqchi tumani,33
649,Mallachek MFY,Baliqchi tumani,33
650,Nasriddinobod MFY,Baliqchi tumani,33
651,Eskihaqulobod QFY,Baliqchi tumani,33
652,Yettiqashqa MFY,Baliqchi tumani,33
653,O`lmas MFY,Baliqchi tumani,33
654,Eskihaqulobod MFY,Baliqchi tumani,33
655,Dog`iston MFY,Baliqchi tumani,33
656,Yangi hayot MFY,Baliqchi tumani,33
657,Mustaqillik MFY,Baliqchi tumani,33
658,Tulkiobod MFY,Baliqchi tumani,33
659,Tovuldi MFY,Baliqchi tumani,33
660,Yangiqishloq MFY,Baliqchi tumani,33
661,Xo`jaobod QFY,Baliqchi tumani,33
662,Madaminov MFY,Baliqchi tumani,33
663,Guzar MFY,Baliqchi tumani,33
664,Qahramon MFY,Baliqchi tumani,33
665,Buloqboshi MFY,Baliqchi tumani,33
666,Qo`rg`oncha MFY,Baliqchi tumani,33
667,Fayzobod MFY,Baliqchi tumani,33
668,A`lam MFY,Baliqchi tumani,33
669,Oxunboboev QFY,Baliqchi tumani,33
670,Omonariq MFY,Baliqchi tumani,33
671,Chinobod MFY,Baliqchi tumani,33
672,Sho`r MFY,Baliqchi tumani,33
673,Tumor MFY,Baliqchi tumani,33
674,Botir MFY,Baliqchi tumani,33
675,Baliqchi MFY,Baliqchi tumani,33
676,Zaxkash MFY,Baliqchi tumani,33
677,To`da MFY,Baliqchi tumani,33
678,Qiyali MFY,Baliqchi tumani,33
679,Qumtepa MFY,Baliqchi tumani,33
680,Sarnavul MFY,Baliqchi tumani,33
681,Qo`rg`oncha MFY,Baliqchi tumani,33
682,Olimbek QFY,Baliqchi tumani,33
683,Olimbek MFY,Baliqchi tumani,33
684,Do`stlik MFY,Baliqchi tumani,33
685,Fayzaobod MFY,Baliqchi tumani,33
686,Polvonko`l MFY,Baliqchi tumani,33
